영역,#,항목,상태,기한,담당,우선순위,비고
A. 홍보 - 자체채널,A1,신규 홈페이지 공개 및 공유,1차 완료,완료,hiz,,goventureforum.vercel.app
A. 홍보 - 자체채널,A2,기존 홈페이지 리뉴얼 안내 팝업,미완,금주,윤태현,높음,리뉴얼 안내 + 새 홈페이지 링크
A. 홍보 - 자체채널,A3,인스타그램 키비주얼 포스팅,미착수,03/01,,높음,키비주얼 기반 카드뉴스/릴스
A. 홍보 - 자체채널,A4,인스타그램 광고 집행,미착수,03/03~,,높음,예산/타겟/기간 확정 필요
A. 홍보 - 자체채널,A5,뉴스레터 1차 발송 (스티비),미착수,03/03,윤태현,높음,기존 메일 리스트 대상
A. 홍보 - 자체채널,A6,뉴스레터 2차 발송,미착수,03/17,,중간,연사/라인업 공개 포함
A. 홍보 - 이벤트 플랫폼,A7,온오프믹스 포스터 업데이트,업데이트 필요,03/01,,높음,키비주얼로 교체 + 상세 내용 보강
A. 홍보 - 이벤트 플랫폼,A8,Festa (페스타) 등록,미등록,03/01,,높음,IT/스타트업 행사 1위. 무료
A. 홍보 - 이벤트 플랫폼,A9,이벤터스 등록,미등록,03/01,,중간,B2B/컨퍼런스 특화. 무료
A. 홍보 - 이벤트 플랫폼,A10,루프 (Lup) 등록,미등록,03/03,,낮음,스타트업/테크 신생 플랫폼
A. 홍보 - 미디어,A11,플래텀 보도자료/이벤트 게시,미착수,03/03,,높음,VC/창업자 필독 매체. 유료
A. 홍보 - 미디어,A12,벤처스퀘어 보도자료/이벤트 게시,미착수,03/03,,높음,투자/엑싯 중심. 유료
A. 홍보 - 미디어,A13,한경 긱스(GEEKS) 보도자료,미착수,03/05,,중간,전통 미디어 신뢰도
A. 홍보 - 미디어,A14,아웃스탠딩 네이티브 광고,미착수,03/05,,중간,유료 구독자 수만 명
A. 홍보 - 미디어,A15,EO 콜라보/광고,미착수,예산 확정 후,,낮음,100만+ 구독자. 고가
A. 홍보 - 미디어,A16,디스콰이엇 게시판 게시,미착수,03/03,,중간,IT 메이커 커뮤니티. 무료
A. 홍보 - 미디어,A17,긱뉴스 링크 게시,미착수,03/03,,낮음,개발자 중심. 무료
A. 홍보 - 외부 뉴스레터,A18,스타트업위클리,미착수,03/03,,높음,업계 필독. 유/무료
A. 홍보 - 외부 뉴스레터,A19,디캠프 뉴스레터,미착수,03/03,,높음,공익 행사 환영. 무료 협의
A. 홍보 - 외부 뉴스레터,A20,DEMODAY 뉴스레터 제보,미착수,03/01,,높음,투자/데모데이 전문. 무료
A. 홍보 - 외부 뉴스레터,A21,어피티,미착수,03/05,,중간,40만+ 구독자. 유료
A. 홍보 - 외부 뉴스레터,A22,캡틴,미착수,03/05,,중간,VC/투자업계. 유료
A. 홍보 - 외부 뉴스레터,A23,eopla (이오플래닛),미착수,03/05,,낮음,EO 커뮤니티. 유료
A. 홍보 - SNS/커뮤니티,A24,페이스북 스타트업 그룹 게시,미착수,03/01,,높음,1만~5만 멤버. 무료
A. 홍보 - SNS/커뮤니티,A25,LinkedIn 개인 계정 포스팅,미착수,03/01,,높음,업계 인물 태그. 무료
A. 홍보 - SNS/커뮤니티,A26,LinkedIn 이벤트 생성,미착수,03/01,,중간,B2B/전문직 타겟. 무료
A. 홍보 - SNS/커뮤니티,A27,X(트위터) 행사 트윗,미착수,03/01,,중간,업계 리더 멘션. 무료
A. 홍보 - SNS/커뮤니티,A28,네이버 카페 (창업 관련) 게시,미착수,03/03,,중간,수만 회원. 무료
A. 홍보 - SNS/커뮤니티,A29,리멤버 커뮤니티 게시,미착수,03/03,,중간,명함앱→비즈니스SNS. 300만+
A. 홍보 - 카톡 오픈채팅,A30,스타트업 대표/네트워킹 방,미착수,03/03,,중간,방 규칙 확인 후 공유. 방장 협의
A. 홍보 - 카톡 오픈채팅,A31,VC/투자자 네트워킹 방,미착수,03/03,,중간,투자 행사 환영받는 편
A. 홍보 - 카톡 오픈채팅,A32,창업자/CEO 모임 방,미착수,03/03,,중간,인증제 방도 있음
A. 홍보 - 카톡 오픈채팅,A33,AC/프로그램 Alumni 방,미착수,03/05,,낮음,관계자 통한 간접 공유
A. 홍보 - 오프라인,A34,팁스타운 (행사 장소) 포스터,미착수,03/10,,높음,행사 장소이므로 필수
A. 홍보 - 오프라인,A35,위워크/패스트파이브/스파크플러스,미착수,03/10,,중간,로비 포스터 + 커뮤니티 게시판
A. 홍보 - 오프라인,A36,디캠프 공간 포스터,미착수,03/10,,중간,스타트업 캠퍼스 허브
A. 홍보 - 오프라인,A37,마루180 포스터,미착수,03/10,,낮음,역삼 소재. 팁스타운 근접
A. 홍보 - 오프라인,A38,성수/판교 코워킹 밀집지역,미착수,03/10,,낮음,QR 전단지/포스터
A. 홍보 - 공공채널,A39,K-Startup (창업진흥원) 게시판,미착수,03/03,,중간,무료. 공공성 행사 우선
A. 홍보 - 공공채널,A40,서울창업허브 게시판/뉴스레터,미착수,03/03,,중간,서울 소재 창업자 타겟
A. 홍보 - 공공채널,A41,대학 창업지원단 안내요청,미착수,03/05,,낮음,주요 5~10개 대학
A. 홍보 - 소재제작,A42,포스터 variants (온라인용),미착수,03/01,,높음,인스타 정방형/스토리/온오프믹스 배너
A. 홍보 - 소재제작,A43,포스터 variants (오프라인용),미착수,03/07,,중간,A3 포스터/전단지
A. 홍보 - 소재제작,A44,인스타 광고 소재 2~3종,미착수,03/03,,높음,카드뉴스/릴스
A. 홍보 - 소재제작,A45,보도자료 작성,미착수,03/03,,높음,미디어 배포용
A. 홍보 - 소재제작,A46,뉴스레터 콘텐츠,미착수,03/03,윤태현,높음,스티비 발송용
B. 섭외/초청,B1,핵심 VC/투자자 리스트업,완료,완료,전원,,30~50명
B. 섭외/초청,B2,스타트업 창업자 리스트업,완료,완료,전원,,리스트 포함
B. 섭외/초청,B3,초청 메일/DM 템플릿,완료,완료,윤태현,,2종 (메일/DM)
B. 섭외/초청,B4,1차 초청 발송,진행 중,03/05,윤태현,높음,발송/응답률 확인 필요
B. 섭외/초청,B5,초청 팔로업 (미응답자),미착수,03/10,윤태현,높음,리마인더 발송
B. 섭외/초청,B6,핵심 연사/투자자 확정,미확정,03/10,전원,높음,헤드라이너급→홍보 소재 활용
B. 섭외/초청,B7,IR 피칭 스타트업 선정,미착수,03/10,전원,높음,몇 팀? 선정 기준?
B. 섭외/초청,B8,기조 연설/인사말 연사,미확정,03/10,,중간,부회장님 인사말 포함 여부
B. 섭외/초청,B9,전문직(회계/변리/법무) 초청,미착수,03/10,,중간,명찰 색상 구분 대상
B. 섭외/초청,B10,부회장님 네트워크 활용 초청,논의 필요,03/10,,중간,부회장님 확인 필요
B. 섭외/초청,B11,최종 참석자 확정 및 명단,미착수,03/20,,높음,100명 목표
C. 행사 프로그램,C1,전체 타임테이블 설계,미완,금주,전원,높음,시간대별 세션 구성
C. 행사 프로그램,C2,IR 피칭 세션 설계,미착수,03/10,,높음,팀당 시간/Q&A/심사 여부
C. 행사 프로그램,C3,네트워킹 세션 설계,미착수,03/10,,높음,자유 vs 구조화 매칭
C. 행사 프로그램,C4,기조 인사말/오프닝 구성,미착수,03/10,,중간,누가/몇 분/내용
C. 행사 프로그램,C5,MC/사회자 확정,미착수,03/10,,중간,내부 or 외부
C. 행사 프로그램,C6,IR 피칭 팀 사전 리허설 기획,미착수,03/17,,중간,일정/코칭 담당/피드백 방식
C. 행사 프로그램,C7,행사 실행 매뉴얼 작성,미착수,03/16,,높음,분 단위 진행 시나리오
C. 행사 프로그램,C8,발표 자료 수합,미착수,03/20,,중간,IR팀 발표 자료 템플릿+수합
D. 운영 - 장소/시설,D1,장소 확정 (팁스타운S6 1층),완료,완료,,,역삼로 168
D. 운영 - 장소/시설,D2,장소 대관 계약/확인,확인 필요,03/03,,높음,대관비/이용시간/세팅 시간
D. 운영 - 장소/시설,D3,좌석 배치 설계,미착수,03/17,,중간,100명 기준. 피칭/네트워킹 동선
D. 운영 - 장소/시설,D4,음향/영상 장비 확인,미착수,03/17,,중간,마이크/프로젝터/스크린/카메라
D. 운영 - 장소/시설,D5,Wi-Fi/전원 확인,미착수,03/17,,낮음,발표자 접속 테스트
D. 운영 - 장소/시설,D6,현장 사진/영상 촬영 수배,미착수,03/17,,중간,내부 or 외주 (후기용)
D. 운영 - 참석자관리,D7,참석 신청 시스템,1차 완료,완료,hiz,,/apply 페이지
D. 운영 - 참석자관리,D8,결제 시스템 확정,확인 중,금주,hiz,높음,아임웹 티켓팅 or 자체 결제
D. 운영 - 참석자관리,D9,참석자 DB 수집 항목 확정,미착수,03/03,,중간,이름/소속/직함 외 추가 항목
D. 운영 - 참석자관리,D10,참석 확정 안내 메일,미착수,03/15,,중간,자동 or 수동 발송
D. 운영 - 참석자관리,D11,행사 전 리마인더 발송,미착수,03/22,,중간,D-3 리마인더
D. 운영 - 참석자관리,D12,노쇼 대비 오버부킹 설정,미착수,03/15,,중간,100명 목표→120명 신청?
D. 운영 - 현장운영,D13,명찰 디자인,미착수,03/10,,높음,색상 구분: 투자자/창업자/기관/전문직
D. 운영 - 현장운영,D14,명찰 인쇄,미착수,03/20,,중간,참석자 확정 후 인쇄
D. 운영 - 현장운영,D15,현장 안내 사이니지,미착수,03/17,,중간,입구/층별/세션별 안내
D. 운영 - 현장운영,D16,접수 데스크 운영 계획,미착수,03/17,,중간,인원 배치/체크인 방식
D. 운영 - 현장운영,D17,네트워킹 매칭 방식 확정,미착수,03/10,,높음,명찰 색상 + 추가 장치
D. 운영 - 현장운영,D18,다과/케이터링,미착수,03/15,,중간,예산/업체/메뉴
D. 운영 - 현장운영,D19,현장 스태프 배치,미착수,03/17,,중간,접수/안내/촬영/기술지원
D. 운영 - 티켓/결제,D20,참가비 확정,10000원,확정 필요,,높음,부회장님 확인
D. 운영 - 티켓/결제,D21,결제 수단 확정,확인 중,금주,hiz,높음,통신판매업 확인
D. 운영 - 티켓/결제,D22,무료 초청 기준,미정,03/03,,중간,VIP/연사/특별초청
D. 운영 - 티켓/결제,D23,환불 정책,미정,03/03,,중간,환불 기한/조건
E. 리스크,E1,참석자 미달 (100명 목표),점검 필요,03/15,,높음,추가 홍보/무료 티켓/오버부킹
E. 리스크,E2,핵심 연사/투자자 노쇼,대비 필요,03/20,,높음,백업 연사/사전 확인 연락
E. 리스크,E3,장비/기술 장애,대비 필요,03/16,,중간,사전 리허설/백업 장비
E. 리스크,E4,결제 시스템 장애,대비 필요,상시,,중간,대안 결제(계좌이체) 안내
E. 리스크,E5,장소 문제,확인 필요,03/03,,중간,대관 계약 재확인/대안 장소
E. 리스크,E6,일정 변경 불가피 시,프로세스 필요,상시,,낮음,참석자 전원 안내 프로세스
F. 후속관리,F1,참석자 DB 정리 및 분류,미착수,04/02,윤태현,,투자자/창업자/전문직 분류
F. 후속관리,F2,감사 메일 발송,미착수,03/27,,,참석자 전원 + VIP 별도
F. 후속관리,F3,행사 후기 뉴스레터,미착수,04/05,윤태현,,현장 사진 + 하이라이트
F. 후속관리,F4,홈페이지 후기 콘텐츠,미착수,04/05,윤태현,,갤러리 업데이트
F. 후속관리,F5,카톡방/후속 채널 개설,미착수,03/25,,,행사 당일 안내
F. 후속관리,F6,네트워킹 후속 연결,미착수,04/05,,,매칭 희망자 연결
F. 후속관리,F7,행사 결과 보고서,미착수,04/07,,,부회장님 보고용
